DeployID,Ptt,DepthSensor,Source,Instr,HistType,Date,Time Offset,Count,BadTherm,LocationQuality,Latitude,Longitude,NumBins,Sum,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64,Bin65,Bin66,Bin67,Bin68,Bin69,Bin70,Bin71,Bin72
CCS-2402,243061,,Transmission,Mk10,DiveDepth,11:00:00 05-Jul-2024,-1.000000,1,0,,,,8,7,0,0,0,2,4,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,12:00:00 05-Jul-2024,-1.000000,1,0,,,,8,5,0,0,0,0,1,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,13:00:00 05-Jul-2024,-1.000000,1,0,,,,8,7,0,0,0,0,1,2,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,14:00:00 05-Jul-2024,-1.000000,1,0,,,,8,11,0,0,0,0,0,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,16:00:00 05-Jul-2024,-1.000000,1,0,,,,8,8,0,0,0,0,0,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,22:00:00 05-Jul-2024,-1.000000,1,0,,,,8,8,0,0,0,3,4,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,17:00:00 06-Jul-2024,-1.000000,1,0,,,,8,9,0,0,0,2,6,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,22:00:00 06-Jul-2024,-1.000000,1,0,,,,8,5,0,0,0,0,3,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,23:00:00 06-Jul-2024,-1.000000,1,0,,,,8,3,0,0,0,1,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,03:00:00 07-Jul-2024,-1.000000,1,0,,,,8,5,0,0,0,3,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,09:00:00 07-Jul-2024,-1.000000,1,0,,,,8,2,0,0,0,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,12:00:00 07-Jul-2024,-1.000000,1,0,,,,8,7,0,0,0,0,0,4,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,13:00:00 07-Jul-2024,-1.000000,1,0,,,,8,7,0,0,0,1,2,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,18:00:00 07-Jul-2024,-1.000000,2,0,,,,8,11,0,0,0,0,0,9,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,08:00:00 08-Jul-2024,-1.000000,1,0,,,,8,5,2,0,1,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,17:00:00 08-Jul-2024,-1.000000,1,0,,,,8,8,0,0,0,0,1,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,22:00:00 08-Jul-2024,-1.000000,1,0,,,,8,4,0,0,0,0,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,09:00:00 09-Jul-2024,-1.000000,1,0,,,,8,6,0,0,0,1,2,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,11:00:00 09-Jul-2024,-1.000000,1,0,,,,8,2,0,0,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,12:00:00 09-Jul-2024,-1.000000,1,0,,,,8,7,0,0,0,1,0,5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,15:00:00 09-Jul-2024,-1.000000,1,0,,,,8,5,0,0,0,1,1,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,18:00:00 09-Jul-2024,-1.000000,1,0,,,,8,6,0,0,2,1,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,01:00:00 10-Jul-2024,-1.000000,1,0,,,,8,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,03:00:00 10-Jul-2024,-1.000000,2,0,,,,8,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,05:00:00 10-Jul-2024,-1.000000,1,0,,,,8,4,4,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,07:00:00 10-Jul-2024,-1.000000,1,0,,,,8,4,4,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,08:00:00 10-Jul-2024,-1.000000,1,0,,,,8,7,3,1,1,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,09:00:00 10-Jul-2024,-1.000000,1,0,,,,8,7,0,0,0,0,2,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,19:00:00 10-Jul-2024,-1.000000,1,0,,,,8,9,0,0,0,0,4,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,21:00:00 10-Jul-2024,-1.000000,2,0,,,,8,5,0,0,2,0,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,22:00:00 10-Jul-2024,-1.000000,1,0,,,,8,8,0,0,0,0,1,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,02:00:00 11-Jul-2024,-1.000000,1,0,,,,8,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,08:00:00 11-Jul-2024,-1.000000,2,0,,,,8,4,0,1,1,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,14:00:00 11-Jul-2024,-1.000000,1,0,,,,8,3,0,1,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,00:00:00 12-Jul-2024,-1.000000,1,0,,,,8,5,0,0,0,2,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,05:00:00 12-Jul-2024,-1.000000,1,0,,,,8,8,8,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,06:00:00 12-Jul-2024,-1.000000,1,0,,,,8,6,5,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,08:00:00 12-Jul-2024,-1.000000,1,0,,,,8,9,4,0,2,2,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,09:00:00 12-Jul-2024,-1.000000,1,0,,,,8,9,0,0,0,0,6,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,10:00:00 12-Jul-2024,-1.000000,1,0,,,,8,8,0,0,0,3,4,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,14:00:00 12-Jul-2024,-1.000000,1,0,,,,8,6,0,0,0,4,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,18:00:00 12-Jul-2024,-1.000000,1,0,,,,8,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,21:00:00 12-Jul-2024,-1.000000,1,0,,,,8,3,0,0,1,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,01:00:00 13-Jul-2024,-1.000000,1,0,,,,8,3,0,0,1,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,07:00:00 13-Jul-2024,-1.000000,1,0,,,,8,7,4,0,0,1,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,17:00:00 13-Jul-2024,-1.000000,1,0,,,,8,7,0,0,0,1,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,21:00:00 13-Jul-2024,-1.000000,1,0,,,,8,5,0,0,0,0,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,22:00:00 13-Jul-2024,-1.000000,2,0,,,,8,8,0,0,0,0,7,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,23:00:00 13-Jul-2024,-1.000000,1,0,,,,8,9,0,0,0,5,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,01:00:00 14-Jul-2024,-1.000000,1,0,,,,8,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,02:00:00 14-Jul-2024,-1.000000,2,0,,,,8,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,03:00:00 14-Jul-2024,-1.000000,1,0,,,,8,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,06:00:00 14-Jul-2024,-1.000000,1,0,,,,8,6,4,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,09:00:00 14-Jul-2024,-1.000000,1,0,,,,8,10,0,0,0,2,2,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,10:00:00 14-Jul-2024,-1.000000,1,0,,,,8,8,0,0,0,0,0,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,14:00:00 14-Jul-2024,-1.000000,2,0,,,,8,7,0,0,0,6,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,17:00:00 14-Jul-2024,-1.000000,2,0,,,,8,7,2,0,1,0,1,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,18:00:00 14-Jul-2024,-1.000000,1,0,,,,8,8,0,0,0,2,3,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,19:00:00 14-Jul-2024,-1.000000,1,0,,,,8,6,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,00:00:00 15-Jul-2024,-1.000000,1,0,,,,8,3,0,0,0,0,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,03:00:00 15-Jul-2024,-1.000000,1,0,,,,8,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,04:00:00 15-Jul-2024,-1.000000,1,0,,,,8,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,05:00:00 15-Jul-2024,-1.000000,1,0,,,,8,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,07:00:00 15-Jul-2024,-1.000000,1,0,,,,8,6,3,1,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,08:00:00 15-Jul-2024,-1.000000,3,0,,,,8,6,1,1,0,3,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,09:00:00 15-Jul-2024,-1.000000,2,0,,,,8,6,0,0,1,0,0,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,10:00:00 15-Jul-2024,-1.000000,1,0,,,,8,7,0,0,0,0,1,4,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,16:00:00 15-Jul-2024,-1.000000,2,0,,,,8,9,0,0,0,0,2,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,17:00:00 15-Jul-2024,-1.000000,2,0,,,,8,8,0,0,0,0,6,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,18:00:00 15-Jul-2024,-1.000000,2,0,,,,8,9,0,0,0,0,3,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,20:00:00 15-Jul-2024,-1.000000,1,0,,,,8,7,0,0,0,0,2,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,22:00:00 15-Jul-2024,-1.000000,1,0,,,,8,8,0,0,0,0,0,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,23:00:00 15-Jul-2024,-1.000000,1,0,,,,8,8,0,0,0,0,1,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,00:00:00 16-Jul-2024,-1.000000,1,0,,,,8,4,0,0,0,0,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,07:00:00 16-Jul-2024,-1.000000,1,0,,,,8,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,09:00:00 16-Jul-2024,-1.000000,1,0,,,,8,6,0,0,1,1,3,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,18:00:00 16-Jul-2024,-1.000000,1,0,,,,8,9,0,0,0,0,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,19:00:00 16-Jul-2024,-1.000000,1,0,,,,8,9,0,0,0,0,0,0,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,00:00:00 17-Jul-2024,-1.000000,1,0,,,,8,6,0,0,0,0,0,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,05:00:00 17-Jul-2024,-1.000000,1,0,,,,8,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,15:00:00 17-Jul-2024,-1.000000,1,0,,,,8,9,0,0,0,0,0,0,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,16:00:00 17-Jul-2024,-1.000000,1,0,,,,8,7,0,0,0,0,0,0,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,19:00:00 17-Jul-2024,-1.000000,1,0,,,,8,8,0,0,0,0,0,0,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,21:00:00 17-Jul-2024,-1.000000,1,0,,,,8,8,0,0,0,0,0,2,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,05:00:00 18-Jul-2024,-1.000000,2,0,,,,8,3,2,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,06:00:00 18-Jul-2024,-1.000000,3,0,,,,8,6,4,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,09:00:00 18-Jul-2024,-1.000000,1,0,,,,8,8,0,0,0,0,1,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,11:00:00 18-Jul-2024,-1.000000,1,0,,,,8,7,0,2,0,0,0,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,18:00:00 18-Jul-2024,-1.000000,1,0,,,,8,8,0,0,0,1,2,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDepth,06:00:00 19-Jul-2024,-1.000000,1,0,,,,8,8,8,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDuration,14:00:00 22-Jun-2024,-2.000000,2,0,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDuration,15:00:00 22-Jun-2024,-2.000000,2,0,,,,11,4,0,0,0,4,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDuration,17:00:00 22-Jun-2024,-2.000000,1,0,,,,11,4,0,0,0,1,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDuration,18:00:00 22-Jun-2024,-2.000000,1,0,,,,11,9,0,0,0,4,5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDuration,19:00:00 22-Jun-2024,-2.000000,3,0,,,,11,7,0,0,0,3,4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,243061,,Transmission,Mk10,DiveDuration,20:00:00 22-Jun-2024,-2.000000,1,0,,,,11,7,0,0,0,1,3,1,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
